project_county_name,fips5,naics.x,count,naics.y,est,diff
GALLATIN,30031,721110,134,721110,78,56
YELLOWSTONE,30111,721110,95,721110,54,41
MISSOULA,30063,721110,71,721110,48,23
FLATHEAD,30029,721110,70,721110,57,13
PARK,30067,721110,43,721110,32,11
LEWIS AND CLARK,30049,721110,37,721110,27,10
CASCADE,30013,721110,32,721110,27,5
SILVER BOW,30093,721110,28,721110,16,12
GLACIER,30035,721110,17,721110,8,9
DAWSON,30021,721110,12,721110,8,4
BEAVERHEAD,30001,721110,11,721110,9,2
CARBON,30009,721110,11,721110,10,1
CUSTER,30017,721110,11,721110,9,2
RICHLAND,30083,721110,11,721110,8,3
LINCOLN,30053,721110,10,721110,9,1
MADISON,30057,721110,10,721110,12,-2
LAKE,30047,721110,9,721110,7,2
FERGUS,30027,721110,8,721110,9,-1
ROSEBUD,30087,721110,7,721110,6,1
SANDERS,30089,721110,7,721110,9,-2
BIG HORN,30003,721110,6,721110,4,2
FALLON,30025,721110,6,721110,5,1
HILL,30041,721110,6,721110,7,-1
RAVALLI,30081,721110,6,721110,8,-2
VALLEY,30105,721110,6,721110,6,0
MINERAL,30061,721110,5,721110,6,-1
TOOLE,30101,721110,5,721110,3,2
PHILLIPS,30071,721110,4,721110,3,1
POWELL,30077,721110,4,721110,3,1
SHERIDAN,30091,721110,4,NA,0,4
BROADWATER,30007,721110,3,NA,0,3
POWDER RIVER,30075,721110,3,NA,0,3
BLAINE,30005,721110,2,NA,0,2
CARTER,30011,721110,2,NA,0,2
CHOUTEAU,30015,721110,2,NA,0,2
DANIELS,30019,721110,2,NA,0,2
GRANITE,30039,721110,2,721110,3,-1
JEFFERSON,30043,721110,2,NA,0,2
MUSSELSHELL,30065,721110,2,NA,0,2
ROOSEVELT,30085,721110,2,721110,3,-1
TETON,30099,721110,2,NA,0,2
GARFIELD,30033,721110,1,NA,0,1
MEAGHER,30059,721110,1,721110,3,-2
PONDERA,30073,721110,1,NA,0,1
SWEET GRASS,30097,721110,1,721110,3,-2
